customer_id,age,gender,location,tenure_months,contract_type,monthly_charges,total_charges,login_frequency,feature_usage_score,avg_session_duration,support_tickets,complaints,days_since_last_login,payment_delay_days,payment_method,num_referrals,promotional_offers_used,download_volume_gb,churn
CUST_000000,40.0,M,Urban,5,Month-to-Month,83.134022742832,416.5023363394347,14,61.1958928373554,16.750828957458364,4,1,7,0,Bank Transfer,0,3,4.735421910663274,0
CUST_000001,33.0,M,Urban,24,1-Year,82.82536513719133,2005.0909638883068,11,55.10970585674908,35.127835771587,3,0,2,1,Credit Card,1,1,8.213964751704577,0
CUST_000002,42.0,M,Rural,2,Month-to-Month,74.47942794851798,,14,33.36031109874439,20.126229231373117,2,1,2,0,Credit Card,2,3,5.609500955849775,1
CUST_000003,53.0,M,Suburban,19,Month-to-Month,96.83362032627817,1771.524013494327,9,17.62097386899977,27.48629215662202,1,1,1,1,Credit Card,1,3,64.44135214820108,1
CUST_000004,32.0,F,Urban,21,Month-to-Month,88.98596483202185,1800.0199956331455,9,18.46252483891552,35.02451238260621,4,0,1,1,Credit Card,0,1,,1
CUST_000005,32.0,M,Suburban,5,1-Year,86.82108839759263,482.0066126229594,16,12.026084555168051,14.618827555919257,3,0,6,0,Digital Wallet,3,4,1.3073702597819947,1
CUST_000006,,M,Urban,11,Month-to-Month,105.95843368958728,1210.4292895203778,10,21.766038517716584,40.4379413291844,6,0,3,1,Digital Wallet,0,0,20.66813521350469,1
CUST_000007,44.0,F,Urban,42,1-Year,65.8597837215399,2793.089038454213,18,,17.936058462830374,1,0,4,1,Credit Card,1,1,47.98187193971739,1
CUST_000008,29.0,M,Urban,3,Month-to-Month,66.73306698073243,196.4356423356507,14,38.69085287873385,15.701136680524254,3,1,0,3,Credit Card,1,1,12.092097950057699,1
CUST_000009,41.0,F,Urban,13,Month-to-Month,89.576105546619,,20,69.27306460595449,48.44279912145173,3,0,8,6,Credit Card,0,3,11.715957274602923,1
CUST_000010,29.0,F,Suburban,64,1-Year,59.64638524819909,3840.4120912400776,21,23.63291868429975,10.631543260688405,0,0,2,3,Bank Transfer,1,3,124.32701070559972,0
CUST_000011,29.0,M,Suburban,16,Month-to-Month,79.44823016441504,1259.2086949246009,12,40.683088551229424,14.094582456975685,3,0,9,2,Credit Card,1,1,15.173097786994704,1
CUST_000012,37.0,F,Rural,30,Month-to-Month,48.19678078957276,1409.4866878754647,14,27.548833150509246,19.224675089685373,2,0,4,0,Bank Transfer,0,1,46.08154882640247,1
